id;label;teks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;positif;Its not the end its just beginning Ok detak detik tirai mulai menutup panggung Tanda skenario baru harus diusung Lembaran kertas barupun terbuka Tinggalkan yang lama biarkan sang pena berlaga Kita pernah sebut itu kenangan tempo dulu Pernah juga hilang atau takkan pernah berlalu Masa jaya putih biru atau abu abu Memori cerita cinta aku dia dan kamu Saat dia dia masuki alam pikiran Ilmu bumi dan sekitarnya jadi kudapan Cinta masa sekolah yang pernah terjadi That was the moment a part of sweet memory Kita membumi melangkah berdua Kita ciptakan hangat sebuah cerita Mulai dewasa cemburu dan bunga Finally now its our time to make a history Bergegaslah kawan tuk sambut masa depan Tetap berpegang tangan saling berpelukan Berikan senyuman tuk sebuah perpisahan Kenanglah sahabat kita untuk selamanya Satu alasan kenapa kau kurekam dalam memori Satu cerita teringat di dalam hati Karena kau berharga dalam hidupku teman Untuk satu pijakan menuju masa depan Saat duka bersama tawa bersama berpacu dalam prestasi hal yang biasa Satu persatu memori terekam  Di dalam api semangat yang tak mudah padam Ku yakin kau pasti sama dengan diriku Pernah berharap agar waktu ini tak berlalu Kawan kau tahu kawan kau tahu kan Beri pupuk terbaik untuk bunga yang kau simpan Bergegaslah kawan tuk sambut masa depan Tetap berpegang tangan saling berpelukan Berikan senyuman tuk sebuah perpisahan Kenanglah sahabat kita untuk selamanya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;positif;hello teman semua ayo kita sambut hari baru telah tiba apa yang ku rasakan ku ingin engkau tahu dan berbagi bersama buka kita buka hari yang baru sebagai semangat langkah ke depan jadi pribadi baru buka kita buka jalan yang baru tebarkan senyum wajah gembira damai suasana baru bukalah bukalah semangat baru coba diam walau hanya tuk sejenak dengarkan kata dari segala yang ku ucap ku jelang pagi ini nikmati damai di hati dalam waktu penuh arti karena aku dicintai ku ingat kemarin suasana tak bersemangat namun kini ku jalani dan semua rasanya tepat bersama kita coba wujudkan harapan membuka jalan dalam gapai setiap tujuan mentari bersinar selalu ini yang ku minta penuh semangat tertawa bersamamu teman semua karna ini saatnya kita nyanyi bersama dengarkan hatimu pastikan pilihanmu esok mentari kan datang bawa sejuta harapan kita jumpa di sana berbagi bersama dan kita tahu pelangi yang satukan kita buka kita buka hari yang baru sebagai semangat langkah ke depan jadi pribadi baru buka kita buka hari yang baru sebagai semangat langkah ke depan jadi pribadi baru bukalah bukalah semangat baru bukalah semangat baru bukalah bukalah semangat baru  bukalah semangat baru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;positif;Mentari terbenam Temani dalam Kesendirianku Temani aku Dalam kepedihan Ini ku bertahan Mentari terbenam Beri semangat baru Tuk jiwaku Beri kicauan merdu Tuk hidupku Ini ku bertahan Aku pasti bisa Menikmati semua Dan menghadapinya Aku yakin pasti bisa Mentari terbenam Beri semangat baru Tuk jiwaku Beri kicauan merdu Tuk hidupku Ini ku bertahan Aku pasti bisa Menikmati semua Dan menghadapinya Aku yakin pasti bisa Aku pasti bisa Menikmati semua Dan menghadapinya Aku yakin pasti bisa Aku ingin lepaskan Seluruh bebanku Dan ku jalani hidupku Dengan senyuman Aku pasti bisa Menikmati semua Dan menghadapinya Aku yakin pasti bisa Dan ku jalani hidupku Dengan senyuman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;positif;Di kala kau putus asa Dan telah lelah mencoba Angkatlah bahumu kawan Gagal itu hal biasa Bukan akhir segalanya Itulah awal cerita indah Jangan pernah lelah berlari Mengejar asa yang kau cari Keep holding on pada mimpimu Terus kejar tanpa kau ragu Keep moving on biarkan yang berlalu Sambut hari baru ooh Gagal itu hal biasa Bukan akhir segalanya Itulah awal cerita indah Jangan pernah lelah berlari Mengejar asa yang kau cari Keep holding on pada mimpimu Terus kejar tanpa kau ragu Keep moving on biarkan yang berlalu Sambut hari baru ooh Ku yakin pasti engkau bisa Menjadi terang dunia Keep holding on pada mimpimu Terus kejar tanpa kau ragu Keep moving on biarkan yang berlalu Sambut hari baru ooh Keep holding on pada mimpimu Terus kejar tanpa kau ragu Keep moving on biarkan yang berlalu Sambut hari baru ooh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;positif;Setidaknya punya tujuh puluh tahun Tak bisa melompat kumahir berenang Bahagia melihat kawanan betina Berkumpul bersama sampai ajal Besar dan berani berperang sendiri Yang aku hindari hanya semut kecil Otak ini cerdas kurakit perangkat Wajahmu tak akan pernah kulupa Waktu kecil dulu mereka menertawakan Mereka panggilku gajah Kini ku baru tahu puji di dalam olokan Jabat tanganku panggil aku gajah Kau temanku kau doakan aku Punya otak cerdas aku harus tangguh Bila jatuh gajah lain membantu Tubuhmu disituasi rela jadi tamengku Kecil kita tak tahu apa apa Wajar bila terlalu cepat marah Kecil kita tak tahu apa apa Yang terburuk kelak bisa jadi yang terbaik Yang terburuk kelak bisa jadi yang terbaik Kau temanku kau doakan aku Punya otak cerdas aku harus tangguh Bila jatuh gajah lain membantu Tubuhmu disituasi rela jadi tamengku Kau temanku kau doakan aku Punya otak cerdas aku harus tangguh Bila jatuh gajah lain membantu Tubuhmu disituasi rela jadi tamengku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;positif;Bila mimpi adalah tantangan maka hadapilah sekuat tenagamu bila mimpi adalah lagu maka nyanyikanlah dengan bersama sama mimpi kita masih panjang tetap terus berjuang semangatlah dan wujudkan semua bila kita bisa bersama pasti ada jalannya dan kita meraih mimpi besar bila mimpi adalah tantangan maka hadapilah sekuat tenagamu mimpi kita masih panjang tetap terus berjuang semangatlah dan wujudkan semua bila kita bisa bersama pasti ada jalannya dan kita meraih mimpi besar mimpiku belum usai semangatku tak terhenti bila kau ada disini selalu bersamaku yakinlah taklukkan dunia suarakan isi hatimu meluapkan dan terus berlari bersama menjemput mimpi besar mimpi kita masih panjang tetap terus berjuang semangatlah dan wujudkan semua bila kita bisa bersama pasti ada jalannya dan kita meraih mimpi besar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;positif;Tak ada manusia Yang terlahir sempurna Jangan kau sesali Segala yang telah terjadi Kita pasti pernah Dapatkan cobaan yang berat Seakan hidup ini Tak ada artinya lagi Syukuri apa yang ada Hidup adalah anugrah Tetap jalani hidup ini Melakukan yang terbaik Tak ada manusia Yang terlahir sempurna Jangan kau sesali Segala yang telah terjadi Syukuri apa yang ada Hidup adalah anugrah Tetap jalani hidup ini Melakukan yang terbaik Tuhan pasti kan menunjukkan Kebesaran dan kuasaNya Bagi hambaNya yang sabar Dan tak kenal putus asa Jangan menyerah Jangan menyerah Jangan menyerah Jangan menyerah Jangan menyerah Jangan menyerah oh Syukuri apa yang ada Hidup adalah anugrah Tetap jalani hidup ini Melakukan yang terbaik Tuhan pastikan menunjukkan Kebesaran dan kuasaNya Bagi hambaNya yang sabar Dan tak kenal putus asa Dan tak kenal putus asa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;positif;Apa yang kau takutkan Dengan semua ini Bukankah kesedihan Sering kita alami Keadaan ini Buat kita terbiasa Dengarkan ku bicara Teruslah bermimpi Walau kenyataannya jauh berbeda Teruslah bermimpi Jangan berhenti Percayalah Lelah ini hanya sebentar saja Jangan menyerah Walaupun tak mudah meraihnya Menghentikan pikiran dengan mata terpejam Menunggu malam bisa hapus kenyataan Biar saja mimpi jauh membawa kita Percayalah Lelah ini hanya sebentar saja Jangan menyerah Walaupun tak mudah meraihnya Tetap tersenyumlah Biar semakin mudah Karena kesedihan pun Ternyata hanya sementara Percayalah Lelah ini hanya sebentar saja Jangan menyerah Walaupun tak mudah meraihnya Tetap tersenyumlah Biar semakin mudah Karena kesedihan pun Ternyata hanya sementara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;positif;Mimpi adalah kunci untuk kita menaklukkan dunia berlarilah tanpa lelah sampai engkau meraihnya laskar pelangi takkan terikat waktu bebaskan mimpimu di angkasa warnai bintang di jiwa menarilah dan terus tertawa walau dunia tak seindah surga bersyukurlah pada Yang Kuasa cinta kita di dunia selamanya cinta kepada hidup memberikan senyuman abadi walau hidup kadang tak adil tapi cinta lengkapi kita laskar pelangi takkan terikat waktu jangan berhenti mewarnai jutaan mimpi di bumi menarilah dan terus tertawa walau dunia tak seindah surga bersyukurlah pada Yang Kuasa cinta kita di dunia menarilah dan terus tertawa walau dunia tak seindah surga bersyukurlah pada Yang Kuasa cinta kita di dunia selamanya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;positif;Hanya bilik bambu tempat tinggal kita Tanpa hiasan tanpa lukisan Beratap jerami beralaskan tanah Namun semua ini punya kita Memang semua ini milik kita sendiri Hanya alang alang pagar rumah kita Tanpa anyelir tanpa melati Hanya bunga bakung tumbuh di halaman Namun semua itu punya kita Memang semua itu milik kita Haruskah kita beranjak ke kota Yang penuh dengan tanya Lebih baik di sini rumah kita sendiri Segala nikmat dan anugerah yang kuasa Semuanya ada disini Rumah kita Lebih baik disini rumah kita sendiri Segala nikmat dan anugerah yang kuasa Semuanya ada disini  Rumah kita Lebih baik disini rumah kita sendiri Segala nikmat dan anugerah yang kuasa Semuanya ada disini Lebih baik disini rumah kita sendiri Segala nikmat dan anugerah yang kuasa Semuanya ada disini Rumah kita Rumah kita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;positif;Di sini ada Satu kisah Cerita tentang Anak manusia Menantang hidup Bersama Mencoba menggali Makna cinta Tetes air mata Mengalir di sela Derai tawa Selamanya kita Tak akan berhenti Mengejar matahari Tajamnya pisau Takkan sanggup Goyahkan cinta Antara kita Menembus ruang Dan waktu Menyatu di dalam Jiwaku Tetes air mata Mengalir di sela Derai tawa Selamanya kita Tak akan berhenti Mengejar Terus mengejar Matahari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;positif;Ketika mimpimu yang begitu indah Tak pernah terwujud ya sudahlah Saat kau berlari mengejar anganmu Dan tak pernah sampai ya sudahlah Apapun yang terjadi Ku kan selalu ada untukmu Janganlah kau bersedih Cause everythings gonna be okay Satu dari sekian kemungkinan Kau jatuh dan tanpa ada harapan Saat itu raga ku persembahkan Bersama jiwa cita cinta dan harapan Kita sambung satu per satu sebab akibat Tapi tenanglah mata hati kita kan lihat Menuntun ke arah mata angin bahagia Kau dan aku tahu jalan selalu ada Juga ku tahu lagi problema kan terus menerjang Bagai deras ombak yang menabrak karang Namun ku tahu ku tahu kau mampu tuk tetap tenang Hadapi ini bersamaku hingga ajal datang Saat kau berharap keramahan cinta Tak pernah kau dapat ya sudahlah Yeah dengar ku bernyanyi Semua ini belum berakhir Apapun yang terjadi Ku kan selalu ada untukmu Janganlah kau bersedih Cause everythings gonna be okay Satukan langkah langkah yang beriring Genggam hati rangkul emosi Genggamlah hatiku satukan langkah kita Sama rasa tanpa pamrih Ini cinta across the sea Peluklah diriku terbanglah bersamaku melayang jauh Come on fly come fly Come on fly with me baby Ini aku dari ujung rambut menyusur jemari Sosok ini yang menerima kelemahan hati yeah Aku cinta kau ini cinta kita Cukup satu waktu yes untuk satu cinta Satu cinta ini akan tuntun jalanmu Rapatkan jiwamu tenang di sisiku Rebahkan rasamu untuk yang ditunggu Bahagia hingga ujung waktu Apapun yang terjadi Ku kan selalu ada untukmu Janganlah kau bersedih Cause everythings gonna be okay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;positif;Dulu kita sahabat teman begitu hangat Mengalahkan sinar mentari Dulu kita sahabat berteman bagai ulat Berharap jadi kupu kupu Kini kita berjalan berjauh jauhan Kau jauhi diriku karna sesuatu Mungkin ku terlalu bertindak kejauhan Namun itu karna ku sayang Persahabatan bagai kepompong Mengubah ulat menjadi kupu kupu Persahabatan bagai kepompong Hal yang tak mudah berubah jadi indah Persahabatan bagai kepompong Maklumi teman hadapi perbedaan Persahabatan bagai kepompong Na na na na na Dulu kita sahabat teman begitu hangat Mengalahkan sinar mentari Dulu kita sahabat berteman bagai ulat Berharap jadi kupu kupu Kini kita berjalan berjauh jauhan Kau jauhi diriku karna sesuatu Mungkin ku terlalu bertindak kejauhan Namun itu karna ku sayang Persahabatan bagai kepompong Mengubah ulat menjadi kupu kupu Persahabatan bagai kepompong Hal yang tak mudah berubah jadi indah Persahabatan bagai kepompong Maklumi teman hadapi perbedaan Persahabatan bagai kepompong Kepompong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;positif;Biarkan saja Kekasihmu pergi Teruskan saja Mimpi yang kau tunda Kita temukan Tempat yang layak Sahabatku Kupercaya kan Langkah bersamamu Tak kuragukan  Berbagi dengan mu Kita temukan  Tempat yang layak Sahabatku Kita mencari Jati diri Teman lautan mimpi Aku bernyanyi untuk sahabat Aku berbagi untuk sahabat Kita bisa Jika bersama Kita berbagi untuk sahabat Kita bernyanyi untuk sahabat Kita bisa Jika bersama Tiba waktunya Kita untuk berbagi Untuk saling memberi Aku bernyanyi untuk sahabat Aku berbagi untuk sahabat Kita bisa Jika bersama Kita berbagi untuk sahabat Kita bernyanyi untuk sahabat Kita bisa Jika bersama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;positif;Tak mudah untuk kita hadapi Perbedaan yang berarti Tak mudah untuk kita lewati Rintangan silih berganti Kau masih berdiri Kita masih di sini Tunjukkan pada dunia Arti sahabat Kau teman sehati Kita teman sejati Hadapilan dunia Genggam tanganku Tak mudah untuk kita sadari Saling mendengarkan hati Tak mudah untuk kita pahami Berbagi rasa di hati Kau adalah Tempatku membagi kisahku Kau sempurna Jadi bagian hidupku Apapun kekuranganmu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;positif;Lihat cara dia berjalan Oh mengagumkan oh mengagumkan Ikutilah jalan pikirannya Oh mengesankan oh mengesankan Ingin sekali kutunjukkan Betapa berarti senyumnya untukku Ikutilah gerak jarinya Kau kan terkesan kau kan terkesan Dengarlah dia mulai bernyanyi Kau kan terharu lalu membisu Ingin sekali kukatakan Betapa berarti tingkahnya bagiku Karna aku slalu pasti mengagumi dengan hati Di setiap jengkal indahnya di setiap jengkal buruknya Karna aku slalu pasti mengikuti lewat mimpi Di setiap sudut terangnya di setiap sudut gelapnya Karna aku slalu pasti mengagumi dengan hati Di setiap jengkal indahnya di setiap jengkal buruknya Karna aku slalu pasti mengikuti lewat mimpi Di setiap sudut terangnya di setiap sudut gelapnya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;positif; Ketika ku mendengar bahwa Kini kau tak lagi dengannya Dalam benakku timbul tanya Masihkah ada dia di hatimu bertahta Atau ini saat bagiku untuk singgah di hatimu Namun siapkah kau tuk jatuh cinta lagi Meski bibir ini tak berkata Bukan berarti ku tak merasa Ada yang berbeda di antara kita Dan tak mungkin ku melewatkanmu hanya karena Diriku tak mampu untuk bicara Bahwa aku inginkan kau ada di hidupku Kini ku tak lagi dengannya Sudah tak ada lagi rasa Antara aku dengan dia Siapkah kau bertahta di hatiku hai cinta Karena ini saat yang tepat untuk singgah di hatiku Namun siapkah kau tuk jatuh cinta lagi Meski bibir ini tak berkata Bukan berarti ku tak merasa Ada yang berbeda di antara kita Dan tak mungkin ku melewatkanmu hanya karena Diriku tak mampu untuk bicara Bahwa aku inginkan kau ada di hidupku Pikirlah saja dulu Hingga tiada ragu Agar mulus jalanku Melangkah menuju ke hatimu Pikirlah saja dulu Hingga tiada ragu Agar mulus jalanku Melangkah menuju ke hatimu Siapkah kau tuk jatuh cinta lagi Meski bibir ini tak berkata Bukan berarti ku tak merasa Ada yang berbeda di antara kita Dan tak mungkin ku melewatkanmu hanya karena Diriku tak mampu untuk bicara Bahwa aku inginkan kau ada Meski bibir ini tak berkata Bukan berarti ku tak merasa Ada yang berbeda di antara kita Dan tak mungkin ku melewatkanmu hanya karena Diriku tak mampu untuk bicara Bahwa aku inginkan kau ada di hidupku Bila kau jatuh cinta katakanlah jangan buat sia sia Bila kau jatuh cinta katakanlah jangan buat sia sia Bila kau jatuh cinta katakanlah jangan buat sia sia Siapkah kau tuk jatuh cinta lagi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;positif;Sudah lupakan semua Segala salahku Dan bila kau tetap bisa Ungkapkan salahmu Dan aku sifatku dan aku khilafku dan aku cintaku dan aku rinduku Sudah lupakan semua Segala berubah Dan kita terlupa Dan kita terluka Dan aku sifatku dan aku khilafku dan aku cintaku dan aku rinduku Ku tanya malam dapatkah kau lihatnya perbedaan yang tak terungkapkan tapi mengapa kau tak berubah ada apa denganmu Hanya malam dapat meleburkan segala rasa yang tak terungkapkan tapi mengapa kau tak berubah ada ada denganmu Dan aku sifatku dan aku khilafku dan aku cintaku dan aku rinduku Ku tanya malam dapatkah kau lihatnya perbedaan yang tak terungkapkan tapi mengapa kau tak berubah ada apa denganmu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
